,Intensity
-7.86E-05,-0.60611765
2.18E-07,-0.26101961
9.60E-05,-0.22964706
0.00036601,-0.42572549
0.0008102,-0.37866667
0.00142856,0.31152941
0.00222112,-2.3316078
0.00318787,-2.684549
0.00432881,-3.366902
0.00564393,-3.6335686
0.00713324,-3.6335686
0.00879674,-3.6335686
0.01063443,-3.6335686
0.01264631,-3.6302797
0.01483238,-3.5796472
0.01719263,-0.64245546
0.01972708,4.4205112
0.02243571,8.9818019
0.02531853,6.1943578
0.02837554,3.846414
0.03160674,7.6713041
0.03501213,2.876871
0.0385917,-3.4545322
0.04234547,-2.8287879
0.04627342,4.989398
0.05037556,2.6196334
0.05465189,0.038388864
0.05910241,-0.33864938
0.06372712,-0.29187346
0.06852602,-3.4526559
0.0734991,-1.4288399
0.07864638,7.0972217
0.08396784,9.8353327
0.08946349,4.5972579
0.09513333,-1.5268067
0.10097736,-3.446665
0.10699557,-3.3662385
0.11318798,-3.4659193
0.11955457,-2.7182567
0.12609535,-1.5467798
0.13281032,-2.2338417
0.13969948,-2.4892464
0.14676283,-0.32083682
0.15400037,1.3772692
0.16141209,3.6874248
0.16899801,3.3547278
0.17675811,3.0301587
0.1846924,3.7176391
0.19280088,2.8446199
0.20108355,-0.16929099
0.20954041,-2.8770348
0.21817145,-2.682533
0.22697669,-0.77794261
0.23595611,0.43673649
0.24510972,0.93797486
0.25443752,1.2983215
0.26393951,2.466796
0.27361569,1.8237906
0.28346605,-0.45030257
0.29349061,-0.68489533
0.30368935,-1.0995955
0.31406228,-2.8159717
0.3246094,-3.0889259
0.33533071,-2.37336
0.34622621,-1.0849604
0.3572959,0.046861262
0.36853977,1.8142618
0.37995783,2.1623392
0.39155009,1.9695249
0.40331653,2.4201326
0.41525716,2.7533781
0.42737197,2.4280847
0.43966098,2.1736643
0.45212418,1.4646268
0.46476156,0.90489356
0.47757313,-0.29769215
0.49055889,-0.6999931
0.50371884,-0.96867597
0.51705298,-1.3625643
0.53056131,-0.4855796
0.54424382,0.29757219
0.55810053,0.79081266
0.57213142,0.60982807
0.5863365,0.50755962
0.60071577,0.57812493
0.61526923,0.30387697
0.62999688,0.84560003
0.64489871,0.58760784
0.65997473,0.55458864
0.67522495,0.7725308
0.69064935,0.15123825
0.70624794,-0.01517136
0.72202072,-0.1816
0.73796769,-0.51275355
0.75408884,-0.38118102
0.77038419,-0.67315693
0.78685372,-0.572995
0.80349744,-0.66893054
0.82031535,-0.69429686
0.83730745,-0.43732926
0.85447374,-0.3921454
0.87181421,0.02164689
0.88932888,0.58443976
0.90701773,0.8099587
0.92488077,0.9883998
0.942918,1.229567
0.96112942,1.1099308
0.97951503,0.84125599
0.99807483,0.87060137
1.0168088,0.69600617
1.035717,0.51354879
1.0547993,0.97420965
1.0740559,1.0034789
1.0934866,0.83665076
1.1130916,1.2345094
1.1328707,1.2088197
1.152824,0.86938542
1.1729515,1.0475792
1.1932532,0.84928333
1.213729,0.90979199
1.2343791,0.65655612
1.2552033,0.732713
1.2762018,1.1225763
1.2973744,0.90065596
1.3187212,1.1963636
1.3402422,1.248915
1.3619374,1.2543885
1.3838068,1.2755292
1.4058504,1.1946902
1.4280681,1.451087
1.4504601,1.2447197
1.4730262,1.0226471
1.4957665,1.0593791
1.518681,0.71177821
1.5417697,0.56807991
1.5650326,0.3851469
1.5884697,0.24141056
1.612081,0.19961597
1.6358664,0.14995922
1.6598261,0.021852066
1.6839599,0.1682357
1.7082679,0.15773755
1.7327501,0.20996548
1.7574065,0.43472341
1.7822371,0.51828584
1.8072419,0.52339787
1.8324209,0.54417715
1.857774,0.64336877
1.8833013,0.43665902
1.9090029,0.62208711
1.9348786,0.47024127
1.9609285,0.36543522
1.9871526,0.19786506
2.0135509,0.17929547
2.0401234,0.16855
2.06687,0.24406001
2.0937909,0.30386472
2.1208859,0.30090531
2.1481551,0.42341707
2.1755985,0.41257647
2.2032161,0.55073645
2.2310079,0.46142643
2.2589739,0.52896012
2.2871141,0.64353361
2.3154285,0.44436259
2.343917,0.63732941
2.3725797,0.4930223
2.4014167,0.30948047
2.4304278,0.47101766
2.4596131,0.38155543
2.4889726,0.39403497
2.5185062,0.57904449
2.5482141,0.45815264
2.5780962,0.54116333
2.6081524,0.3104295
2.6383828,0.37771587
2.6687875,0.28812046
2.6993663,0.15929034
2.7301193,0.014754926
2.7610465,0.14471029
2.7921478,-0.086137692
2.8234234,0.17711295
2.8548732,0.032501432
2.8864971,0.11532187
2.9182952,0.28439779
2.9502676,0.13188605
2.9824141,0.38719843
3.0147348,0.38366826
3.0472296,0.20757003
3.0798987,0.5804724
3.112742,0.31021848
3.1457594,0.48700435
3.1789511,0.54612415
3.2123169,0.58169551
3.2458569,0.46822823
3.2795711,0.4331733
3.3134595,0.93927582
3.3475221,0.4963397
3.3817589,0.68867867
3.4161698,1.1633516
3.450755,0.49290739
3.4855143,0.79499321
3.5204478,0.70490314
3.5555556,0.73244111
3.5908375,0.79917573
3.6262936,0.68549918
3.6619238,0.79141144
3.6977283,0.61495173
3.733707,0.69729653
3.7698598,0.85805368
3.8061868,0.45408591
3.8426881,0.57558932
3.8793635,0.68138743
3.9162131,0.46559789
3.9532369,0.51645598
3.9904348,0.6614127
4.027807,0.53184059
4.0653534,0.46499455
4.1030739,0.51577655
4.1409686,0.42536305
4.1790376,0.35845993
4.2172807,0.40918485
4.255698,0.38145937
4.2942895,0.26744035
4.3330551,0.23183369
4.371995,0.2197374
4.411109,-0.019828883
4.4503973,0.24254659
4.4898597,-0.05195971
4.5294963,0.10841693
4.5693071,0.080539242
4.6092921,-0.065004525
4.6494513,0.17374641
4.6897847,-0.2855609
4.7302923,0.078642175
4.770974,-0.12972279
4.8118299,-0.15771463
4.8528601,0.065254902
4.8940644,-0.13251639
4.9354429,0.006960068
4.9769956,-0.073178476
5.0187225,-0.035677117
5.0606235,0.033189634
5.1026988,-0.062656654
5.1449482,0.15521539
5.1873719,-0.003390307
5.2299697,-0.036512966
5.2727417,0.10290624
5.3156879,-0.016505243
5.3588083,0.013095727
5.4021029,0.019160128
5.4455717,0.087962471
5.4892146,0.078326285
5.5330318,0.14711432
5.5770231,0.12962068
5.6211886,0.15917871
5.6655283,0.22010213
5.7100422,0.084939969
5.7547303,0.26349614
5.7995926,0.20675103
5.8446291,0.17352818
5.8898397,0.3128472
5.9352245,0.091374742
5.9807836,0.24636572
6.0265168,0.30723189
6.0724242,0.093581101
6.1185058,0.31913884
6.1647616,0.089787467
6.2111916,0.2525858
6.2577957,0.24282795
6.3045741,0.24874922
6.3515266,0.17623197
6.3986533,0.39390363
6.4459543,0.24294069
6.4934294,0.052754906
6.5410787,0.23903255
6.5889021,0.22138148
6.6368998,0.18019383
6.6850717,0.22527354
6.7334177,0.19975785
6.781938,0.38599972
6.8306324,0.062430503
6.879501,0.23297178
6.9285438,0.23095688
6.9777608,0.095601494
7.027152,0.2661213
7.0767174,0.36604572
7.1264569,0.1757669
7.1763707,0.31489269
7.2264586,0.35205054
7.2767207,0.091162015
7.327157,0.36359967
7.3777675,0.22034389
7.4285522,0.21825743
7.4795111,0.15341871
7.5306442,0.096415973
7.5819514,0.28254333
7.6334329,0.045134128
7.6850885,0.082227569
7.7369183,0.22911778
7.7889223,0.18776553
7.8411005,0.067974757
7.8934529,0.23052977
7.9459795,0.08719527
7.9986802,-0.063989522
8.0515552,0.13775971
8.1046043,0.033619424
8.1578277,0.007903359
8.2112252,0.021395824
8.2647969,-0.027863966
8.3185428,0.071888695
8.3724629,-0.032287368
8.4265572,0.043921569
8.4808256,0.020137907
8.5352683,-0.12129363
